meanTemp,TotPrecip,TotSnow,Max24hrPrecip,Max24hrSnow
62.6,1.24,0,0.42,0
64.6,8.2,0,1.81,0
74.7,8.12,0,2.36,0
74.1,2.93,0,0.94,0
68.1,0.63,0,0.32,0
55,4.6,0,1.2,0
44.4,4.2,0.6,0.97,0.5
36.3,4.64,5.5,1.18,2.6
30.9,3.04,10.2,0.92,3.3
35.3,4.84,2.3,1.34,0.7
32.7,3.23,22.3,1.22,11.4
48.3,3.51,0,1.38,0
59.7,3.8,0,1.02,0
69.6,3.46,0,2.46,0
73.1,5.18,0,2.05,0
72.2,1.64,0,0.67,0
63.7,5.97,0,2.95,0
53.9,2.48,0,1.14,0
48,2.49,0,1.07,0
29.5,4.82,16.9,1.81,13
25,2.92,18.7,1.22,11.8
31.6,4.94,14.9,2.55,14.4
36.8,4.71,9,1.31,2.9
45.2,6.59,2,1.63,1.4
56.3,4.51,0,1.48,0
68.9,1.67,0,0.42,0
72.1,3.29,0,0.76,0
72.5,3.17,0,1.64,0
68.9,7.04,0,2.9,0
57.3,2.46,0,1.48,0
44.6,3.18,0.9,0.96,0.6
32.8,3.36,11.4,0.88,7.5
28.7,3.11,2.5,1.34,1.5
26.7,4.16,28.7,1.1,8.2
38.5,1.48,1.1,0.94,0.5
49.3,3.85,0.1,2.02,0.1
57.2,1.86,0,0.96,0
68.4,2.33,0,0.81,0
70.3,1.61,0,0.85,0
69.9,3.72,0,1.69,0
62.9,4.1,0,2.37,0
54.1,8.68,0,3,0
41.7,3.8,0.9,1.14,0.6
30,4.53,5.3,1.52,3.6
29.5,3.13,6.5,0.84,5
25.9,2.6,4.6,1.03,3.2
39,4.39,13.6,1.29,5
48.9,1.48,0,0.51,0
59.4,2.86,0,0.76,0
69.4,1.92,0,0.69,0
74.7,1.72,0,0.51,0
70.4,1.67,0,0.41,0
60.8,3.05,0,1.46,0
60,1.25,0,1.04,0
48.3,7.74,0,2.34,0
25.8,3.03,17.7,0.66,4.8
31.7,4.56,14.4,1.09,8.6
29.1,4.67,23.2,1.32,9.1
38.7,3.48,7.7,1.44,4.5
46.1,3.69,0,1.03,0
60.3,0.53,0,0.37,0
67,1.91,0,0.87,0
71.5,3.12,0,1.18,0
66.4,1.78,0,0.7,0
62,2.65,0,0.72,0
52.5,2.82,0,0.89,0
44.1,2.18,0,1.1,0
32.4,5.08,12.2,1.71,5.4
25.4,2.64,22.2,1.21,6.9
27.9,3.17,4.7,1.87,1.9
35.8,2.22,9.7,0.52,3.7
44.2,2.32,1.6,0.61,1.6
59.5,0.93,0,0.52,0
67.4,2.99,0,1.2,0
71,0.55,0,0.3,0
70.5,1.48,0,0.67,0
62.5,2.01,0,1.16,0
52.8,1.59,0,0.62,0
42.1,2.08,0,0.62,0
36.1,1.73,2.3,0.88,1.1
28.8,5.29,26.4,1.48,7.4
31.3,3.48,12.1,1.65,9
39.7,1.98,3.3,0.41,2.5
45.9,1.24,0,0.41,0
57.2,2.66,0,0.7,0
69.4,3.4,0,1.17,0
74.9,3.21,0,0.91,0
71.2,1.25,0,0.57,0
